District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Mavala,03-Mar-23,0.0,25.9,73.7
Adilabad,Mavala,03-May-23,0.0,21.1,70.2
Adilabad,Mavala,03-Nov-23,0.0,23.2,63.0
Adilabad,Mavala,03-Oct-23,0.0,20.5,60.6
Adilabad,Mavala,03-Sep-23,0.0,31.5,52.4
Adilabad,Mavala,13-Mar-23,0.0,21.8,64.4
Adilabad,Mavala,14-Mar-23,0.0,21.8,64.9
Adilabad,Mavala,15-Mar-23,0.0,19.1,67.6
Adilabad,Mavala,16-Mar-23,2.3,25.0,71.1
Adilabad,Mavala,17-Mar-23,0.0,35.9,73.8
Adilabad,Mavala,18-Mar-23,0.0,42.1,77.4
Adilabad,Mavala,19-Mar-23,1.8,50.2,87.1
Adilabad,Mavala,20-Mar-23,1.5,32.2,86.9
Adilabad,Mavala,21-Mar-23,0.0,30.4,74.9
Adilabad,Mavala,22-Mar-23,0.0,29.0,66.7
Adilabad,Mavala,23-Mar-23,0.0,28.3,74.3
Adilabad,Mavala,24-Mar-23,0.0,27.9,68.9
Adilabad,Mavala,25-Mar-23,0.0,26.6,76.2
Adilabad,Mavala,26-Mar-23,0.0,37.1,77.4
Adilabad,Mavala,27-Mar-23,0.0,41.9,79.6
Adilabad,Mavala,28-Mar-23,0.0,19.1,64.0
Adilabad,Mavala,29-Mar-23,0.0,17.9,77.4
Adilabad,Mavala,30-Mar-23,0.0,23.4,74.6
Adilabad,Mavala,31-Mar-23,0.0,19.3,63.0
Adilabad,Narnoor,03-Apr-23,0.0,27.7,75.2
Adilabad,Narnoor,03-Aug-23,0.0,46.0,66.2
Adilabad,Narnoor,03-Dec-23,0.0,23.1,67.6
Adilabad,Narnoor,03-Feb-23,0.0,26.3,57.7
Adilabad,Narnoor,03-Jan-23,0.0,26.8,77.0
Adilabad,Narnoor,03-Jul-23,0.0,25.2,59.2
Adilabad,Narnoor,03-Jun-23,0.0,24.5,61.0
Adilabad,Narnoor,03-Mar-23,0.0,25.6,55.1
Adilabad,Narnoor,03-May-23,0.0,22.0,56.3
Adilabad,Narnoor,03-Nov-23,0.0,23.8,54.4
Adilabad,Narnoor,03-Oct-23,0.0,22.0,46.4
Adilabad,Narnoor,03-Sep-23,0.0,21.8,56.5
Adilabad,Narnoor,13-Mar-23,0.0,25.8,52.6
Adilabad,Narnoor,14-Mar-23,0.0,23.2,51.2
Adilabad,Narnoor,15-Mar-23,1.8,23.7,70.9
Adilabad,Narnoor,16-Mar-23,0.0,25.5,60.8
Adilabad,Narnoor,17-Mar-23,1.0,36.8,75.6
Adilabad,Narnoor,18-Mar-23,0.0,47.7,87.6
Adilabad,Narnoor,19-Mar-23,3.3,55.1,92.0
Adilabad,Narnoor,20-Mar-23,5.8,36.4,82.2
Adilabad,Narnoor,21-Mar-23,0.0,30.7,79.3
Adilabad,Narnoor,22-Mar-23,0.0,29.7,70.6
Adilabad,Narnoor,23-Mar-23,0.0,28.2,62.3
Adilabad,Narnoor,24-Mar-23,0.0,30.7,66.0
Adilabad,Narnoor,25-Mar-23,0.0,32.5,79.3
Adilabad,Narnoor,26-Mar-23,0.6,38.3,80.0
Adilabad,Narnoor,27-Mar-23,8.0,40.7,79.2
Adilabad,Narnoor,28-Mar-23,0.0,22.5,60.7
Adilabad,Narnoor,29-Mar-23,0.0,18.6,79.2
Adilabad,Narnoor,30-Mar-23,0.0,29.7,81.8
Adilabad,Narnoor,31-Mar-23,0.0,22.4,74.7
Adilabad,Neradigonda,03-Apr-23,0.0,28.1,68.0
Adilabad,Neradigonda,03-Aug-23,0.0,35.5,66.7
Adilabad,Neradigonda,03-Dec-23,0.0,27.9,68.4
Adilabad,Neradigonda,03-Feb-23,0.0,26.0,71.3
Adilabad,Neradigonda,03-Jan-23,0.0,28.1,71.7
Adilabad,Neradigonda,03-Jul-23,0.0,23.7,60.3
Adilabad,Neradigonda,03-Jun-23,0.0,24.4,59.9
Adilabad,Neradigonda,03-Mar-23,0.0,24.4,63.8
Adilabad,Neradigonda,03-May-23,0.0,23.1,67.1
Adilabad,Neradigonda,03-Nov-23,0.0,24.7,58.1
Adilabad,Neradigonda,03-Oct-23,0.0,25.4,58.1
Adilabad,Neradigonda,03-Sep-23,0.0,21.0,67.6
Adilabad,Neradigonda,13-Mar-23,0.0,25.6,63.8
Adilabad,Neradigonda,14-Mar-23,0.0,24.1,64.3
Adilabad,Neradigonda,15-Mar-23,0.0,22.1,52.7
Adilabad,Neradigonda,16-Mar-23,0.0,24.4,61.2
Adilabad,Neradigonda,17-Mar-23,4.1,37.0,93.9
Adilabad,Neradigonda,18-Mar-23,0.0,41.7,94.8
Adilabad,Neradigonda,19-Mar-23,11.9,56.7,98.6
