District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,Bazarhathnoor,2025,9,387.6,25,75.2,76.35333333333332,95.83666666666666,2,298.56666666666666,29.8,3.2,NORMAL,445.7,4.0,2
Adilabad,Bazarhathnoor,2025,10,200.6,11,51.6,64.2,92.96451612903226,14,86.36666666666667,132.3,16.1,NORMAL,387.6,3.2,2
Adilabad,Bazarhathnoor,2025,11,24.4,4,11.7,48.11,94.38666666666667,24,31.0,-21.3,34.2,MILD,200.6,16.1,0
Adilabad,Bazarhathnoor,2025,12,0.0,0,0.0,34.74516129032258,92.71290322580644,55,1.8,-100.0,72.2,SEVERE,24.4,34.2,3
Adilabad,Bazarhathnoor,2026,1,0.0,0,0.0,34.05806451612903,93.02903225806452,86,0.0,0.0,32.1,MILD,0.0,72.2,0
Adilabad,Bela,2023,1,0.0,0,0.0,27.863636363636363,90.35000000000001,22,0.675,-100.0,64.9,MODERATE,0.0,0.0,1
Adilabad,Bela,2023,2,0.0,0,0.0,11.81578947368421,74.53157894736842,41,2.533333333333333,-100.0,77.6,SEVERE,0.0,64.9,3
Adilabad,Bela,2023,3,12.2,4,6.0,19.954545454545453,74.24545454545455,47,6.733333333333333,81.2,37.7,MILD,0.0,77.6,0
Adilabad,Bela,2023,4,32.099999999999994,9,16.4,16.94,66.49666666666667,15,17.4,84.5,25.1,MILD,12.2,37.7,0
Adilabad,Bela,2023,5,51.5,6,30.4,19.925806451612903,67.43225806451613,13,46.800000000000004,10.0,22.8,MILD,32.099999999999994,25.1,0
Adilabad,Bela,2023,6,49.7,10,14.8,31.75,70.18333333333334,10,150.96666666666667,-67.1,45.8,MODERATE,51.5,22.8,1
Adilabad,Bela,2023,7,501.2,25,93.5,74.77741935483871,98.01935483870967,5,426.1666666666667,17.6,5.6,NORMAL,49.7,45.8,2
Adilabad,Bela,2023,8,102.9,12,34.2,71.33548387096775,98.70967741935483,8,211.76666666666668,-51.4,28.9,MILD,501.2,5.6,0
Adilabad,Bela,2023,9,273.3,18,67.6,72.46666666666667,97.68333333333334,8,248.26666666666668,10.1,8.7,NORMAL,102.9,28.9,2
Adilabad,Bela,2023,10,0.0,0,0.0,38.564516129032256,97.55483870967741,31,43.5,-100.0,70.7,SEVERE,273.3,8.7,3
Adilabad,Bela,2023,11,26.3,3,15.0,41.06333333333334,97.2,57,10.833333333333334,142.8,30.8,MILD,0.0,70.7,0
Adilabad,Bela,2023,12,1.5,1,1.5,44.07741935483871,99.4258064516129,24,1.8666666666666665,-19.6,32.0,MILD,26.3,30.8,0
Adilabad,Bela,2024,1,2.7,1,2.7,38.067741935483866,96.16451612903225,36,0.675,300.0,31.2,MILD,1.5,32.0,0
Adilabad,Bela,2024,2,7.6,1,7.6,26.56206896551724,84.20689655172414,43,2.533333333333333,200.0,34.7,MILD,2.7,31.2,0
Adilabad,Bela,2024,3,8.0,3,5.5,17.016129032258064,72.30645161290323,21,6.733333333333333,18.8,29.3,MILD,7.6,34.7,0
